epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5342,1.43039,1.50964,1.16327,0.81859,0.69886,0.7767,0.37296,1.92429,1.55013,1.35033,7.145e-05,7.145e-05,7.145e-05
2,60.1085,1.43513,1.35814,1.13462,0.75254,0.76894,0.78131,0.3565,1.96847,1.58223,1.35292,0.000149409,0.000149409,0.000149409
3,86.3772,1.37204,1.30483,1.09173,0.72244,0.68558,0.73545,0.34055,2.01642,1.6762,1.38242,0.00021888,0.00021888,0.00021888
4,112.425,1.36666,1.34012,1.13663,0.78689,0.75766,0.76797,0.35252,1.9689,1.6525,1.3394,0.000279863,0.000279863,0.000279863
5,137.239,1.33968,1.23282,1.11836,0.84469,0.71129,0.78955,0.39026,1.85687,1.67704,1.295,0.000332357,0.000332357,0.000332357
6,161.266,1.2993,1.2206,1.08997,0.81014,0.70833,0.74524,0.36505,1.89705,1.75259,1.32304,0.000376363,0.000376363,0.000376363
7,187.088,1.24649,1.24294,1.0497,0.81957,0.72087,0.76234,0.3603,1.93614,1.67227,1.36213,0.000411881,0.000411881,0.000411881
8,209.564,1.29519,1.21847,1.05564,0.88521,0.7151,0.77645,0.36576,1.87487,1.58766,1.32787,0.00043891,0.00043891,0.00043891
9,231.227,1.42219,1.20671,1.11679,0.81038,0.6944,0.75089,0.36182,1.92581,1.61537,1.354,0.000457451,0.000457451,0.000457451
10,254.924,1.32359,1.22653,1.07326,0.76048,0.66131,0.71771,0.35735,1.96777,1.62465,1.38226,0.000467504,0.000467504,0.000467504
11,279.19,1.38079,1.49805,1.10747,0.77959,0.66856,0.70721,0.34472,1.9438,1.75807,1.35274,0.000469069,0.000469069,0.000469069
12,304.294,1.39139,1.50233,1.13326,0.8292,0.61364,0.71889,0.30416,1.8824,1.84744,1.32365,0.000462146,0.000462146,0.000462146
13,327.14,1.35088,1.56701,1.0868,0.77457,0.63113,0.75359,0.32649,1.94047,1.87004,1.3562,0.000446734,0.000446734,0.000446734
14,353.132,1.32801,1.44149,1.07691,0.77563,0.68378,0.78848,0.3689,1.91494,1.68151,1.36125,0.000422834,0.000422834,0.000422834
15,379.927,1.25826,1.37243,1.04522,0.78571,0.66856,0.75491,0.35496,1.96467,1.60041,1.38479,0.000390446,0.000390446,0.000390446
16,403.541,1.36214,1.33924,1.09005,0.90708,0.65874,0.72039,0.33477,1.9926,1.55783,1.35857,0.000349569,0.000349569,0.000349569
17,427.36,1.35144,1.32004,1.07596,0.8975,0.66552,0.72062,0.33888,1.99559,1.57707,1.34646,0.000297232,0.000297232,0.000297232
18,450.111,1.26255,1.22472,1.03942,0.8477,0.65341,0.74423,0.35544,1.96131,1.55382,1.33992,0.000226497,0.000226497,0.000226497
19,471.86,1.31488,1.39171,1.10735,0.85997,0.66098,0.77792,0.35779,1.94291,1.51724,1.33647,0.000155761,0.000155761,0.000155761
20,494.6,1.20578,1.30093,1.03553,0.84575,0.67614,0.7853,0.35652,1.93603,1.47999,1.33477,8.50255e-05,8.50255e-05,8.50255e-05
