epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9717,2.01404,4.1701,1.79552,0.00238,0.11458,0.02773,0.01145,1.94234,4.42925,1.62803,7.145e-05,7.145e-05,7.145e-05
2,52.9467,1.8418,3.68289,1.51406,0.00584,0.20739,0.10339,0.04508,1.7722,4.07559,1.3138,0.000154078,0.000154078,0.000154078
3,77.7486,1.81032,2.70344,1.33811,0.01193,0.37027,0.13469,0.07242,1.77464,3.76561,1.22441,0.00023331,0.00023331,0.00023331
4,102.815,1.78392,2.27149,1.36215,0.01863,0.48674,0.18339,0.09069,1.71228,3.58513,1.20384,0.000309147,0.000309147,0.000309147
5,129.736,1.73049,2.13338,1.32192,0.01384,0.51799,0.21445,0.10749,1.67626,3.56272,1.15294,0.000381589,0.000381589,0.000381589
6,159.259,1.71219,2.12649,1.2781,1,0.04308,0.30801,0.15968,1.62683,3.4462,1.14177,0.000450635,0.000450635,0.000450635
7,186.565,1.6733,2.0348,1.24069,0.01327,0.69318,0.32709,0.17578,1.68734,3.52159,1.20954,0.000516286,0.000516286,0.000516286
8,218.012,1.67166,1.90726,1.23784,0.01441,0.62405,0.26505,0.13744,1.72688,3.54804,1.23657,0.000578542,0.000578542,0.000578542
9,249.285,1.77066,1.8012,1.31158,0.90126,0.12973,0.31777,0.17312,1.82688,3.33124,1.22396,0.000637403,0.000637403,0.000637403
10,274.206,1.68631,1.81527,1.25932,0.91367,0.14048,0.40373,0.22599,1.86892,3.29401,1.23848,0.000692868,0.000692868,0.000692868
11,306.099,1.62216,1.62479,1.19153,0.86602,0.10357,0.53929,0.28519,1.8261,3.04488,1.24361,0.000744938,0.000744938,0.000744938
12,338.433,1.57764,1.64897,1.22335,0.87118,0.33081,0.54476,0.26043,1.85358,2.99228,1.25934,0.000793612,0.000793612,0.000793612
13,373.286,1.54759,1.62806,1.21995,0.86033,0.36702,0.62025,0.28532,1.82884,2.93146,1.2639,0.000838892,0.000838892,0.000838892
14,404.918,1.54264,1.69567,1.21956,0.73936,0.36734,0.54034,0.24561,1.86607,2.91085,1.29558,0.000880776,0.000880776,0.000880776
