epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0569,1.2693,1.11032,1.16278,0.90909,0.56913,0.75185,0.40343,1.8609,1.36456,1.5026,0.0001429,0.0001429,0.0001429
2,45.6046,1.51692,1.19182,1.191,0.94444,0.52273,0.72996,0.39689,1.75782,1.43408,1.5107,0.000298427,0.000298427,0.000298427
3,68.371,1.46462,1.27351,1.24439,0.9375,0.43845,0.6896,0.38961,1.78668,1.45467,1.53758,0.000447209,0.000447209,0.000447209
4,89.8353,1.4896,1.24735,1.18638,0.92929,0.49242,0.70167,0.36472,2.02033,1.58737,1.68347,0.000584332,0.000584332,0.000584332
5,111.502,1.51663,1.21234,1.22846,0.92929,0.49242,0.70349,0.34802,1.8396,1.413,1.49375,0.000705342,0.000705342,0.000705342
6,133.637,1.51367,1.2695,1.22075,0.86364,0.57576,0.7221,0.36024,1.72323,1.3874,1.41928,0.000806426,0.000806426,0.000806426
7,157.383,1.52483,1.31952,1.25567,0.95,0.59943,0.77938,0.41354,1.72007,1.2492,1.45308,0.000884583,0.000884583,0.000884583
8,184.632,1.6406,1.42661,1.27185,0.94368,0.65341,0.8074,0.41806,1.72436,1.24663,1.47236,0.000937763,0.000937763,0.000937763
9,210.746,1.54657,1.28323,1.25665,0.9375,0.38542,0.66308,0.36537,1.80199,1.3378,1.58325,0.00096497,0.00096497,0.00096497
10,236.874,1.50438,1.28179,1.25405,0.9375,0.41572,0.66698,0.35098,1.78387,1.29401,1.58824,0.000886545,0.000886545,0.000886545
11,260.339,1.43654,1.35334,1.17308,0.92857,0.42992,0.68333,0.3237,1.81546,1.29996,1.61349,0.00078595,0.00078595,0.00078595
12,286.47,1.43833,1.36801,1.21511,1,0.4517,0.72584,0.37112,1.79256,1.3238,1.59499,0.000685355,0.000685355,0.000685355
13,309.149,1.4538,1.29374,1.20535,1,0.44413,0.72204,0.39197,1.74301,1.30728,1.5586,0.000587237,0.000587237,0.000587237
14,333.973,1.44677,1.24387,1.16175,1,0.44508,0.72251,0.39358,1.72143,1.29959,1.5314,0.000494011,0.000494011,0.000494011
15,356.851,1.34319,1.24411,1.15175,0.95833,0.62405,0.80289,0.40312,1.74453,1.23809,1.53402,0.000407975,0.000407975,0.000407975
16,378.961,1.41976,1.1888,1.17008,0.90417,0.60795,0.7802,0.38314,1.7822,1.25874,1.55197,0.000331245,0.000331245,0.000331245
17,401.898,1.36701,1.12803,1.1588,0.92778,0.60701,0.78293,0.3858,1.79479,1.26723,1.55072,0.000265712,0.000265712,0.000265712
18,426.807,1.27896,1.08895,1.11723,0.92826,0.61458,0.78496,0.36806,1.79338,1.2525,1.55804,0.000212988,0.000212988,0.000212988
19,451.007,1.36772,1.1314,1.1627,0.92826,0.61458,0.78471,0.37184,1.78769,1.2317,1.571,0.000174373,0.000174373,0.000174373
20,476.275,1.30368,1.12346,1.15325,0.92727,0.59943,0.77727,0.38195,1.77029,1.18951,1.56004,0.000150817,0.000150817,0.000150817
