epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3454,2.1124,4.6372,1.84577,0.0028,0.16098,0.02168,0.00831,2.0099,4.46046,1.65977,7.145e-05,7.145e-05,7.145e-05
2,51.09,1.81448,4.0682,1.5608,0.00521,0.33996,0.07496,0.04195,1.7478,4.1211,1.33778,0.000141628,0.000141628,0.000141628
3,78.3565,1.77016,3.15313,1.47977,0.0053,0.24621,0.12086,0.06908,1.72171,3.92543,1.29447,0.00019483,0.00019483,0.00019483
4,103.952,1.81547,2.86861,1.48968,0.00586,0.25379,0.15093,0.08329,1.72043,3.8027,1.2608,0.000231055,0.000231055,0.000231055
5,128.561,1.75632,2.59155,1.40263,0.00646,0.33902,0.14247,0.07871,1.66785,3.71823,1.19954,0.000250304,0.000250304,0.000250304
6,156.525,1.66084,2.45029,1.35098,0.00716,0.38542,0.14272,0.07967,1.63527,3.63203,1.18954,0.000252576,0.000252576,0.000252576
7,187.815,1.58016,2.3228,1.3081,0.00759,0.37689,0.1456,0.08022,1.63727,3.60995,1.21775,0.000237871,0.000237871,0.000237871
8,214.704,1.63832,2.25183,1.29374,1,0.0453,0.17435,0.08946,1.68077,3.61256,1.23037,0.00020619,0.00020619,0.00020619
9,243.901,1.6025,2.09499,1.29114,1,0.02034,0.18926,0.09493,1.66862,3.51878,1.21116,0.000157533,0.000157533,0.000157533
10,270.942,1.60351,2.0821,1.26104,1,0.0519,0.25333,0.13142,1.69706,3.40501,1.23527,9.1899e-05,9.1899e-05,9.1899e-05
