epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.301,1.67874,2.38539,1.66352,0.93282,0.56818,0.76673,0.37675,1.90871,1.79592,1.68931,0.000469005,0.000469005,0.000469005
2,549.711,1.43366,1.78388,1.51259,0.97872,0.62216,0.80296,0.42472,2.04842,1.46903,1.83147,0.000944452,0.000944452,0.000944452
3,811.405,1.44293,1.7514,1.50671,0.78846,0.60701,0.70808,0.36351,2.08734,1.54721,1.88928,0.00141635,0.00141635,0.00141635
4,1052.68,1.39908,1.6831,1.45753,0.85694,0.67883,0.79968,0.42244,1.95217,1.42416,1.74192,0.00141698,0.00141698,0.00141698
5,1290.17,1.33041,1.57385,1.42206,0.83971,0.68277,0.78543,0.4104,2.02007,1.43061,1.83747,0.00140768,0.00140768,0.00140768
6,1531.08,1.2969,1.49485,1.39915,0.84921,0.50758,0.69951,0.35302,2.1185,1.50267,1.90691,0.00139578,0.00139578,0.00139578
7,1771.53,1.26691,1.46987,1.37765,0.83602,0.69981,0.81828,0.40917,1.94688,1.32035,1.81332,0.00138133,0.00138133,0.00138133
8,2007.82,1.22893,1.43769,1.34337,0.9188,0.59787,0.76767,0.40609,1.97237,1.46911,1.81621,0.0013644,0.0013644,0.0013644
9,2248.07,1.2228,1.37535,1.34737,0.86538,0.56913,0.72303,0.38543,2.13036,1.6049,1.89549,0.00134504,0.00134504,0.00134504
10,2487.72,1.25007,1.39707,1.34254,0.82143,0.69886,0.79088,0.3727,2.06607,1.36484,1.86813,0.00132333,0.00132333,0.00132333
11,2724.69,1.24656,1.36756,1.3465,0.86813,0.59968,0.75693,0.36421,1.97572,1.41325,1.82581,0.00129937,0.00129937,0.00129937
12,2962.82,1.20974,1.33291,1.33919,0.80889,0.53693,0.67067,0.33655,2.06081,1.59262,1.9055,0.00127323,0.00127323,0.00127323
13,3198.6,1.13854,1.2972,1.29688,0.90683,0.70833,0.82556,0.40801,2.11798,1.28746,1.91584,0.00124503,0.00124503,0.00124503
14,3409.36,1.14748,1.29215,1.27109,0.86834,0.67614,0.79575,0.39041,2.05265,1.48197,1.88258,0.00121488,0.00121488,0.00121488
15,3619.89,1.11849,1.24277,1.25956,0.87232,0.60385,0.74755,0.38077,2.04139,1.37317,1.90056,0.00118289,0.00118289,0.00118289
16,3828.9,1.07751,1.28718,1.25468,0.96598,0.64952,0.80298,0.40856,1.95102,1.30995,1.77266,0.0011492,0.0011492,0.0011492
17,4039.26,1.04413,1.2199,1.21282,0.92115,0.65246,0.80114,0.42375,1.87107,1.43465,1.75652,0.00111393,0.00111393,0.00111393
18,4247.35,1.06099,1.17393,1.21199,0.86887,0.62216,0.76734,0.36326,2.04668,1.33819,1.92036,0.00107723,0.00107723,0.00107723
19,4454.09,1.01796,1.15279,1.20916,0.8,0.60701,0.71681,0.36799,1.93888,1.31055,1.81784,0.00103923,0.00103923,0.00103923
20,4658.54,1.01077,1.15877,1.20423,0.90362,0.62973,0.78146,0.40457,1.92731,1.24651,1.80285,0.0010001,0.0010001,0.0010001
21,4863.75,0.94004,1.09564,1.16641,0.90637,0.66874,0.80093,0.38582,2.08001,1.32017,1.88533,0.000959978,0.000959978,0.000959978
22,5072.05,1.01564,1.10034,1.18791,0.9217,0.66004,0.80821,0.41621,1.99433,1.39368,1.82384,0.000919029,0.000919029,0.000919029
23,5277.26,0.95006,1.09285,1.1652,0.90471,0.67843,0.80814,0.42019,1.98859,1.32627,1.77251,0.000877415,0.000877415,0.000877415
24,5501.08,0.9863,1.08641,1.16694,0.88169,0.62973,0.78236,0.40383,2.0589,1.24049,1.88605,0.000835298,0.000835298,0.000835298
25,5710.27,0.943,1.06721,1.14337,0.8512,0.69886,0.78737,0.39446,1.96987,1.23821,1.81819,0.000792846,0.000792846,0.000792846
26,5921.69,0.92042,1.02008,1.13481,0.90378,0.64489,0.77686,0.39152,2.04014,1.31864,1.86264,0.000750225,0.000750225,0.000750225
27,6124.08,0.88312,1.03173,1.11986,0.82873,0.63731,0.75811,0.36957,1.97518,1.31003,1.80315,0.000707604,0.000707604,0.000707604
28,6325.51,0.88342,1.01852,1.11233,0.84167,0.69886,0.79849,0.3852,2.03061,1.23537,1.87415,0.000665152,0.000665152,0.000665152
29,6528.44,0.90297,1.00672,1.12212,0.89177,0.64295,0.78471,0.37819,2.09305,1.3325,1.92671,0.000623035,0.000623035,0.000623035
30,6730.68,0.84021,0.99794,1.08705,0.85867,0.65246,0.77313,0.37668,2.04825,1.18931,1.85262,0.000581421,0.000581421,0.000581421
31,6936.2,0.85147,0.99528,1.09802,0.81761,0.67248,0.78296,0.39128,2.01308,1.14552,1.85331,0.000540472,0.000540472,0.000540472
32,7137.21,0.84143,0.9617,1.08754,0.80066,0.65341,0.74447,0.39282,2.05664,1.25033,1.9337,0.000500351,0.000500351,0.000500351
33,7340.21,0.83715,0.94797,1.08107,0.85124,0.67614,0.77935,0.413,2.02031,1.11693,1.89451,0.000461217,0.000461217,0.000461217
34,7542.69,0.80374,0.94355,1.058,0.8746,0.69022,0.79401,0.38849,1.96692,1.18798,1.81936,0.000423223,0.000423223,0.000423223
35,7744.45,0.79694,0.92024,1.05867,0.87433,0.66595,0.78209,0.38575,2.01618,1.27886,1.84927,0.000386519,0.000386519,0.000386519
36,7947.16,0.77804,0.91314,1.05977,0.78087,0.69129,0.78001,0.39217,1.97965,1.11188,1.81535,0.000351251,0.000351251,0.000351251
37,8151.72,0.74861,0.906,1.0411,0.8492,0.63731,0.75362,0.37637,1.97588,1.22908,1.86741,0.000317558,0.000317558,0.000317558
38,8356.73,0.79521,0.93221,1.05382,0.89639,0.70594,0.80405,0.40649,1.97062,1.17139,1.83587,0.000285572,0.000285572,0.000285572
39,8562.71,0.74974,0.90617,1.0353,0.88703,0.68044,0.79253,0.40467,1.96832,1.21538,1.83341,0.000255419,0.000255419,0.000255419
40,8771.35,0.7333,0.87468,1.02585,0.89941,0.64489,0.76941,0.39741,1.9639,1.22496,1.83762,0.00022722,0.00022722,0.00022722
41,8973.78,0.73903,0.85496,1.02395,0.8458,0.62216,0.74358,0.38825,1.97524,1.22859,1.83016,0.000201084,0.000201084,0.000201084
42,9179.52,0.70097,0.82262,1.00984,0.88655,0.63731,0.77677,0.42598,1.9861,1.21713,1.83642,0.000177116,0.000177116,0.000177116
43,9382.6,0.70037,0.81903,1.00009,0.88625,0.62973,0.77193,0.41455,2.00495,1.23856,1.87224,0.00015541,0.00015541,0.00015541
44,9585.5,0.69135,0.82867,0.99887,0.88843,0.62973,0.77525,0.43774,1.99786,1.25524,1.85673,0.000136051,0.000136051,0.000136051
45,9785.82,0.68445,0.81089,1.00474,0.8903,0.62973,0.76481,0.43095,1.994,1.2499,1.86168,0.000119116,0.000119116,0.000119116
46,9987.97,0.6736,0.83955,0.99846,0.87409,0.63731,0.77337,0.41018,2.0066,1.21489,1.89272,0.000104672,0.000104672,0.000104672
47,10189.7,0.64312,0.81449,0.98246,0.84402,0.65246,0.76031,0.40524,2.00997,1.19286,1.90157,9.2775e-05,9.2775e-05,9.2775e-05
48,10390.6,0.66003,0.81512,0.97698,0.87542,0.64627,0.76865,0.41524,2.01797,1.20921,1.90906,8.3473e-05,8.3473e-05,8.3473e-05
49,10592.8,0.66632,0.8162,0.98507,0.85645,0.66004,0.78373,0.41798,2.02711,1.21265,1.91056,7.68023e-05,7.68023e-05,7.68023e-05
50,10793.7,0.64394,0.80655,0.9743,0.84829,0.65246,0.76099,0.40024,2.02757,1.21237,1.91332,7.27894e-05,7.27894e-05,7.27894e-05
