epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9673,1.45476,1.24796,1.23717,0.89035,0.72159,0.82584,0.44741,1.76728,1.36156,1.44813,0.0001429,0.0001429,0.0001429
2,46.2258,1.50594,1.20789,1.18472,0.85783,0.71402,0.80779,0.42381,1.78548,1.40411,1.51862,0.000298427,0.000298427,0.000298427
3,71.8987,1.46591,1.26894,1.24975,0.87462,0.68371,0.79401,0.42288,1.79437,1.46341,1.55781,0.000447209,0.000447209,0.000447209
4,96.7915,1.50418,1.25581,1.21327,0.92484,0.62121,0.77323,0.39952,1.83991,1.4611,1.56778,0.000584332,0.000584332,0.000584332
5,123.2,1.51785,1.23226,1.24454,0.91257,0.65578,0.78356,0.38071,1.75753,1.35621,1.44307,0.000705342,0.000705342,0.000705342
6,144.738,1.52697,1.2768,1.22286,0.93194,0.75181,0.83197,0.40611,1.73292,1.32574,1.46,0.000806426,0.000806426,0.000806426
7,176.933,1.51558,1.28931,1.23886,0.87957,0.73372,0.82035,0.42532,1.71097,1.24879,1.46575,0.000884583,0.000884583,0.000884583
8,207.822,1.63269,1.42115,1.26372,0.83277,0.76042,0.82858,0.43255,1.73595,1.22899,1.48161,0.000937763,0.000937763,0.000937763
9,235.073,1.50514,1.26463,1.22392,0.85337,0.65341,0.78091,0.38746,1.83099,1.29274,1.5877,0.00096497,0.00096497,0.00096497
10,258.058,1.53251,1.2658,1.26624,0.8884,0.61458,0.76546,0.38278,1.78719,1.30159,1.57231,0.000886545,0.000886545,0.000886545
11,281.689,1.42875,1.28492,1.17973,0.93958,0.63731,0.79664,0.39813,1.7821,1.2985,1.60546,0.00078595,0.00078595,0.00078595
12,306.023,1.43529,1.30644,1.21985,0.98166,0.58239,0.78829,0.39062,1.76243,1.26584,1.62614,0.000685355,0.000685355,0.000685355
13,328.104,1.44295,1.22523,1.19692,0.99,0.58996,0.79339,0.37741,1.7257,1.22358,1.58955,0.000587237,0.000587237,0.000587237
14,350.133,1.42047,1.2065,1.15938,0.99,0.65246,0.82464,0.39802,1.70564,1.20449,1.564,0.000494011,0.000494011,0.000494011
15,372.646,1.31527,1.24142,1.14904,0.89744,0.69129,0.82196,0.39856,1.6934,1.20158,1.52632,0.000407975,0.000407975,0.000407975
16,395.104,1.40247,1.21118,1.16661,0.85631,0.69129,0.8104,0.39071,1.7088,1.21242,1.53044,0.000331245,0.000331245,0.000331245
17,417.08,1.35981,1.13724,1.16682,0.90527,0.62082,0.79152,0.37522,1.74985,1.18496,1.54539,0.000265712,0.000265712,0.000265712
18,439.98,1.30321,1.08647,1.12533,0.93261,0.61921,0.79979,0.37643,1.75701,1.1833,1.54738,0.000212988,0.000212988,0.000212988
19,462.565,1.41979,1.12291,1.20367,0.93629,0.61323,0.79045,0.37403,1.75075,1.18994,1.5502,0.000174373,0.000174373,0.000174373
20,490.799,1.31985,1.13921,1.16922,0.90789,0.62067,0.78816,0.37059,1.7282,1.16263,1.52656,0.000150817,0.000150817,0.000150817
