epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5496,1.22144,1.50216,1.03342,0.80745,0.68378,0.76403,0.35728,1.92335,1.81384,1.31522,7.145e-05,7.145e-05,7.145e-05
2,56.6138,1.17878,1.39606,1.01814,0.98267,0.65282,0.79666,0.38939,1.85762,1.6795,1.27269,0.000141628,0.000141628,0.000141628
3,81.8282,1.18734,1.3284,1.03825,0.87053,0.68692,0.75567,0.35217,1.90347,1.649,1.29726,0.00019483,0.00019483,0.00019483
4,108.358,1.2204,1.48387,1.06294,0.79426,0.64034,0.75143,0.33562,1.98271,1.78248,1.37195,0.000231055,0.000231055,0.000231055
5,135.51,1.25712,1.43483,1.10209,0.78349,0.66197,0.77026,0.35525,1.92367,1.82162,1.34036,0.000250304,0.000250304,0.000250304
6,162.973,1.23415,1.44738,1.08064,0.8876,0.74995,0.79174,0.35689,1.93034,1.63366,1.33481,0.000252576,0.000252576,0.000252576
7,197.025,1.22858,1.49598,1.08175,0.7357,0.71477,0.79607,0.36259,1.90665,1.64904,1.33038,0.000237871,0.000237871,0.000237871
8,230.162,1.35736,1.44777,1.09531,0.82169,0.69842,0.75403,0.35146,1.88544,1.65225,1.33749,0.00020619,0.00020619,0.00020619
9,255.646,1.31612,1.46715,1.07037,0.79573,0.66856,0.75037,0.3546,1.9024,1.61775,1.35882,0.000157533,0.000157533,0.000157533
10,281.969,1.37656,1.47442,1.10308,0.83351,0.65443,0.75353,0.36085,1.88837,1.58285,1.3538,9.1899e-05,9.1899e-05,9.1899e-05
