epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5863,1.451,1.24466,1.23593,0.89035,0.72159,0.82572,0.44911,1.77069,1.35527,1.44544,0.0001429,0.0001429,0.0001429
2,65.0231,1.51391,1.20216,1.18703,0.85783,0.71402,0.80543,0.41871,1.78622,1.40067,1.52644,0.000299824,0.000299824,0.000299824
3,88.6408,1.46686,1.2746,1.25059,0.86538,0.69129,0.79621,0.42083,1.82169,1.43765,1.56963,0.000455657,0.000455657,0.000455657
4,110.956,1.4911,1.24433,1.2021,0.93464,0.62879,0.789,0.39833,1.84069,1.4986,1.55539,0.000609572,0.000609572,0.000609572
5,133.139,1.5268,1.23914,1.24059,0.9037,0.65246,0.77485,0.36611,1.76388,1.46331,1.44155,0.000760751,0.000760751,0.000760751
6,155.612,1.53821,1.29388,1.23078,0.79048,0.70644,0.77803,0.38101,1.73195,1.39786,1.45122,0.000908392,0.000908392,0.000908392
7,178.554,1.53433,1.2853,1.26118,0.84928,0.76042,0.83072,0.41393,1.73725,1.34546,1.43637,0.00105172,0.00105172,0.00105172
8,200.969,1.66374,1.41793,1.2825,0.8807,0.73847,0.82124,0.40333,1.79314,1.35378,1.45464,0.00118999,0.00118999,0.00118999
9,223.282,1.55389,1.32121,1.26501,0.84244,0.5625,0.71527,0.34005,1.85993,1.4552,1.58937,0.00132247,0.00132247,0.00132247
10,245.634,1.57807,1.30997,1.30419,0.8847,0.5767,0.73635,0.33626,1.79535,1.39868,1.55075,0.0013289,0.0013289,0.0013289
11,268.023,1.58289,1.33044,1.2778,0.88889,0.58333,0.75078,0.34998,1.74008,1.39451,1.52446,0.00130619,0.00130619,0.00130619
12,290.338,1.57236,1.3279,1.26872,0.93333,0.58333,0.76895,0.37764,1.78669,1.46927,1.56799,0.00128143,0.00128143,0.00128143
13,312.776,1.56563,1.30017,1.32127,0.89792,0.60701,0.75529,0.3821,1.77094,1.33369,1.568,0.00125471,0.00125471,0.00125471
14,341.384,1.53908,1.31826,1.31418,0.86171,0.63826,0.75844,0.36991,1.80152,1.35068,1.59351,0.00122615,0.00122615,0.00122615
15,365.589,1.51891,1.29169,1.28545,0.82937,0.70644,0.81437,0.39182,1.85074,1.30992,1.61064,0.00119585,0.00119585,0.00119585
16,388.065,1.55681,1.33053,1.32298,0.88548,0.69034,0.81702,0.4202,1.80684,1.2803,1.56251,0.00116393,0.00116393,0.00116393
17,410.583,1.53447,1.29994,1.26573,0.919,0.66004,0.80622,0.42057,1.75972,1.28176,1.47442,0.00113051,0.00113051,0.00113051
18,433.142,1.5304,1.29116,1.22069,0.90873,0.68806,0.82467,0.42898,1.85129,1.33184,1.5393,0.00109574,0.00109574,0.00109574
19,455.85,1.56019,1.25986,1.26053,0.81866,0.7114,0.81618,0.38628,1.88071,1.43029,1.58258,0.00105975,0.00105975,0.00105975
20,478.651,1.4731,1.26241,1.28815,0.81434,0.70644,0.7844,0.37912,1.87078,1.33251,1.61109,0.00102267,0.00102267,0.00102267
21,500.866,1.54892,1.30055,1.31468,0.83141,0.67791,0.78846,0.38414,1.84438,1.35982,1.60202,0.000984663,0.000984663,0.000984663
22,523.438,1.54102,1.23642,1.22589,0.87583,0.66382,0.79958,0.39045,1.83704,1.34162,1.61903,0.00094587,0.00094587,0.00094587
23,546.451,1.46517,1.22807,1.22741,0.9458,0.69135,0.83405,0.40714,1.8846,1.35005,1.69608,0.000906446,0.000906446,0.000906446
24,568.679,1.46767,1.17942,1.22825,0.9022,0.71402,0.84048,0.41774,1.88207,1.27152,1.71432,0.000866546,0.000866546,0.000866546
25,591.211,1.39982,1.16619,1.20062,0.91772,0.761,0.86423,0.41121,1.86639,1.24299,1.61537,0.000826327,0.000826327,0.000826327
26,613.772,1.45635,1.17206,1.21463,0.86656,0.79924,0.85496,0.39858,1.8885,1.28441,1.62446,0.00078595,0.00078595,0.00078595
