epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5859,2.07289,2.10118,1.73522,0.84758,0.69129,0.80379,0.39442,1.8853,1.63548,1.55866,0.00022864,0.00022864,0.00022864
2,130.96,1.97944,1.914,1.62934,0.83007,0.61648,0.71694,0.31491,1.95392,1.82523,1.58351,0.000471151,0.000471151,0.000471151
3,196.797,2.01382,2.0047,1.67818,0.85302,0.76039,0.83591,0.39286,1.82695,1.74447,1.51777,0.000711965,0.000711965,0.000711965
4,263.402,1.98385,1.87914,1.63306,0.93523,0.63927,0.7903,0.38759,1.90269,1.60652,1.55682,0.000949799,0.000949799,0.000949799
5,326.466,2.05252,1.98903,1.68843,0.90566,0.60701,0.77509,0.32605,2.05718,1.84698,1.59939,0.00118339,0.00118339,0.00118339
6,390.613,1.97845,2.0001,1.67442,0.83788,0.50662,0.67203,0.26521,1.98822,2.67168,1.61951,0.00139753,0.00139753,0.00139753
