epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81278,2.09728,2.22621,1.80214,0.81061,0.67933,0.7793,0.33693,1.97296,1.77888,1.60673,0.00045728,0.00045728,0.00045728
2,17.339,2.00168,2.15999,1.6922,0.89066,0.55816,0.72653,0.3795,1.87294,1.47546,1.5377,0.000928025,0.000928025,0.000928025
3,25.8444,2.03997,2.14942,1.74298,0.7515,0.5216,0.60849,0.28765,2.0497,2.05602,1.7041,0.00139545,0.00139545,0.00139545
4,34.2953,2.02974,2.12953,1.76304,0.71778,0.53788,0.60734,0.30338,2.03338,1.88773,1.69364,0.00141761,0.00141761,0.00141761
5,42.6856,2.02759,2.10916,1.73261,0.73919,0.57565,0.66742,0.3216,2.15725,1.89503,1.72075,0.0014088,0.0014088,0.0014088
6,51.0307,2.03271,2.17861,1.77388,0.72885,0.62973,0.73436,0.33826,2.00022,1.65197,1.65535,0.00139753,0.00139753,0.00139753
7,59.442,2.00976,2.04968,1.74812,0.72844,0.58583,0.71678,0.33777,2.07216,1.56274,1.70839,0.00138384,0.00138384,0.00138384
8,67.8013,2.01525,2.01487,1.73135,0.78469,0.61364,0.74337,0.33988,2.03801,1.44255,1.70531,0.0013678,0.0013678,0.0013678
9,76.7326,1.98646,1.97191,1.70274,0.91319,0.60038,0.77663,0.40959,1.93165,1.42824,1.61711,0.00134946,0.00134946,0.00134946
10,85.057,1.97105,1.95894,1.6967,0.89639,0.59943,0.7702,0.3582,1.99687,1.50383,1.65273,0.0013289,0.0013289,0.0013289
11,93.5437,2.01133,2.0246,1.76743,0.84444,0.49242,0.68758,0.30978,2.04169,1.59227,1.69609,0.00130619,0.00130619,0.00130619
12,101.971,1.96663,1.83797,1.69964,0.75,0.64489,0.75397,0.36132,1.94374,1.54765,1.61507,0.00128143,0.00128143,0.00128143
13,110.731,1.9449,1.88949,1.70291,0.82471,0.66357,0.77371,0.33642,2.00325,1.54073,1.63973,0.00125471,0.00125471,0.00125471
14,119.26,1.95964,1.79666,1.66476,0.80114,0.58239,0.74001,0.35264,1.95904,1.51102,1.56428,0.00122615,0.00122615,0.00122615
15,127.808,1.91152,1.7353,1.64591,0.87707,0.57956,0.74433,0.3439,2.04897,1.4069,1.59748,0.00119585,0.00119585,0.00119585
16,136.139,1.89358,1.73618,1.63636,0.87942,0.66098,0.78864,0.35812,2.03298,1.36484,1.62648,0.00116393,0.00116393,0.00116393
17,144.541,1.88626,1.74582,1.61558,0.79683,0.62879,0.75771,0.33181,2.15995,1.4894,1.70357,0.00113051,0.00113051,0.00113051
18,152.957,1.9067,1.75698,1.65549,0.89667,0.47617,0.67868,0.29282,2.04685,1.64249,1.60568,0.00109574,0.00109574,0.00109574
19,161.407,1.8588,1.62175,1.55973,0.81967,0.67556,0.80054,0.42083,1.90727,1.43336,1.55187,0.00105975,0.00105975,0.00105975
20,169.794,1.82851,1.67679,1.59104,0.73782,0.63731,0.73433,0.37637,1.86282,1.37914,1.52694,0.00102267,0.00102267,0.00102267
21,178.198,1.88024,1.73634,1.63242,0.875,0.61364,0.77147,0.39366,1.93474,1.42557,1.60315,0.000984663,0.000984663,0.000984663
22,186.679,1.84281,1.67997,1.63058,0.95052,0.69516,0.83891,0.43538,1.88921,1.29344,1.5906,0.00094587,0.00094587,0.00094587
23,195.12,1.81756,1.63271,1.58306,0.90707,0.70965,0.81676,0.43342,1.92014,1.24514,1.58827,0.000906446,0.000906446,0.000906446
24,203.586,1.88801,1.59642,1.5941,0.9384,0.72917,0.84576,0.40394,2.0354,1.2208,1.65539,0.000866546,0.000866546,0.000866546
25,212.03,1.84294,1.696,1.59019,0.80297,0.66004,0.78285,0.40555,1.93154,1.28004,1.57905,0.000826327,0.000826327,0.000826327
26,220.432,1.75419,1.4985,1.53035,0.89562,0.68068,0.81091,0.45822,1.87682,1.16698,1.52576,0.00078595,0.00078595,0.00078595
27,228.872,1.81217,1.61969,1.58937,0.86432,0.68371,0.7719,0.41365,1.95603,1.25433,1.5834,0.000745573,0.000745573,0.000745573
28,237.264,1.77499,1.50849,1.53001,0.91632,0.74527,0.84977,0.42616,1.92333,1.16313,1.55223,0.000705354,0.000705354,0.000705354
29,245.719,1.79304,1.46807,1.53549,0.85174,0.80685,0.86977,0.41433,1.97541,1.1946,1.62895,0.000665454,0.000665454,0.000665454
30,254.175,1.75186,1.45825,1.55462,0.92904,0.69129,0.8347,0.41308,1.98253,1.2339,1.62025,0.00062603,0.00062603,0.00062603
31,262.714,1.7592,1.47327,1.53035,0.90494,0.7196,0.84232,0.42943,1.93973,1.21444,1.62562,0.000587237,0.000587237,0.000587237
32,271.086,1.75099,1.47083,1.51918,0.86751,0.70373,0.82188,0.40602,1.96677,1.19387,1.62676,0.000549228,0.000549228,0.000549228
33,279.456,1.74934,1.46559,1.49899,0.94703,0.69034,0.83983,0.40674,2.00401,1.21255,1.63059,0.000512153,0.000512153,0.000512153
34,287.846,1.75146,1.4623,1.50939,0.89686,0.74432,0.86068,0.42684,1.93204,1.15725,1.58043,0.000476158,0.000476158,0.000476158
35,296.265,1.70766,1.36404,1.4622,0.87281,0.70644,0.81986,0.44,1.97163,1.11923,1.59698,0.000441387,0.000441387,0.000441387
36,304.711,1.73043,1.38409,1.48604,0.86582,0.71402,0.8262,0.42637,1.99179,1.14542,1.60319,0.000407975,0.000407975,0.000407975
37,313.103,1.6717,1.37552,1.45678,0.88009,0.72159,0.83429,0.40585,1.97784,1.16348,1.62199,0.000376055,0.000376055,0.000376055
38,321.484,1.64824,1.35346,1.46296,0.89718,0.69034,0.82465,0.3811,2.04756,1.17056,1.66659,0.000345752,0.000345752,0.000345752
39,329.888,1.69767,1.34039,1.46745,0.9275,0.70993,0.83842,0.40923,1.98931,1.1374,1.64086,0.000317187,0.000317187,0.000317187
40,338.268,1.66939,1.30731,1.44545,0.925,0.76799,0.86609,0.44173,1.95033,1.11323,1.61413,0.000290471,0.000290471,0.000290471
41,347.53,1.52914,1.14327,1.35663,0.92993,0.74137,0.85461,0.44192,1.95252,1.1099,1.61501,0.000265712,0.000265712,0.000265712
42,355.913,1.49943,1.1082,1.35275,0.92727,0.70644,0.83088,0.42176,1.96662,1.19709,1.6141,0.000243005,0.000243005,0.000243005
43,364.275,1.51269,1.09262,1.37309,0.92823,0.72159,0.84035,0.44123,1.9755,1.16356,1.62382,0.000222441,0.000222441,0.000222441
44,372.735,1.52855,1.02708,1.34002,0.9418,0.72917,0.84707,0.46097,1.93507,1.13254,1.60809,0.000204101,0.000204101,0.000204101
45,381.139,1.46105,1.01299,1.31215,0.92121,0.73674,0.85041,0.46601,1.92702,1.11011,1.59412,0.000188057,0.000188057,0.000188057
46,389.446,1.44027,0.98307,1.29262,0.92868,0.72917,0.84642,0.44486,1.94455,1.12927,1.61426,0.000174373,0.000174373,0.000174373
47,397.789,1.45233,0.99468,1.30602,0.90833,0.69792,0.82947,0.4304,2.01671,1.14537,1.65187,0.000163103,0.000163103,0.000163103
48,406.083,1.44512,1.01292,1.32162,0.91724,0.69792,0.83015,0.41395,2.02381,1.14705,1.65168,0.00015429,0.00015429,0.00015429
49,414.406,1.4293,0.98791,1.31745,0.88981,0.69792,0.82202,0.41239,1.9936,1.14802,1.63749,0.000147971,0.000147971,0.000147971
50,422.742,1.4726,0.99126,1.34096,0.92687,0.69034,0.8201,0.41324,1.98401,1.15668,1.62672,0.000144169,0.000144169,0.000144169
