epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8145,2.00667,2.31663,1.60313,0.875,0.76042,0.85762,0.42706,1.84709,1.62257,1.2869,7.145e-05,7.145e-05,7.145e-05
2,68.7766,1.79629,1.97063,1.43454,0.87958,0.71887,0.78518,0.35397,1.79011,2.10808,1.30318,0.00015705,0.00015705,0.00015705
3,91.8583,1.84159,1.85133,1.42443,0.81641,0.65233,0.74752,0.32758,1.84009,2.38165,1.32567,0.000242068,0.000242068,0.000242068
4,116.625,1.79171,1.8856,1.4078,0.85743,0.63949,0.73825,0.32732,1.9219,2.24653,1.33275,0.00032605,0.00032605,0.00032605
5,141.017,1.7692,1.97383,1.47674,0.81009,0.68371,0.76232,0.35303,1.87383,1.88599,1.29484,0.000408551,0.000408551,0.000408551
6,167.839,1.72905,1.73947,1.35636,0.78091,0.69886,0.73238,0.3371,1.83841,1.71701,1.29156,0.000489134,0.000489134,0.000489134
7,192.852,1.76638,1.67575,1.30919,0.67523,0.64299,0.69117,0.32602,1.94418,1.7262,1.33051,0.000567376,0.000567376,0.000567376
8,217.225,1.83772,1.81339,1.40959,0.75649,0.70739,0.77854,0.38074,1.95137,1.69298,1.31572,0.000642866,0.000642866,0.000642866
9,244.007,1.79167,1.76574,1.37381,0.7361,0.68203,0.77514,0.37167,1.96769,1.67648,1.35359,0.000715213,0.000715213,0.000715213
10,267.805,1.78153,1.61497,1.35006,0.80522,0.64583,0.77867,0.3348,1.9832,1.72792,1.35766,0.000784048,0.000784048,0.000784048
11,292.942,1.83917,1.72489,1.40179,0.75545,0.69981,0.77579,0.358,1.915,1.69891,1.34043,0.000849022,0.000849022,0.000849022
12,323.143,1.7146,1.64896,1.35216,0.71284,0.59767,0.69829,0.33786,1.9147,1.76521,1.31005,0.000909814,0.000909814,0.000909814
13,348.372,1.68927,1.71787,1.3971,0.8303,0.46212,0.66346,0.32076,1.98804,1.93257,1.39063,0.000966129,0.000966129,0.000966129
14,373.514,1.77356,1.79209,1.43488,0.85104,0.60606,0.76162,0.35966,1.90585,1.69016,1.36909,0.0010177,0.0010177,0.0010177
15,400.858,1.73648,1.65048,1.36945,0.75594,0.61467,0.72077,0.33944,1.9776,1.88089,1.43261,0.0010643,0.0010643,0.0010643
16,425.59,1.6592,1.59617,1.3659,0.77982,0.66951,0.77057,0.37384,2.0351,1.73462,1.49462,0.00110573,0.00110573,0.00110573
17,449.796,1.78202,1.68146,1.42292,0.84022,0.61648,0.74616,0.41665,1.99119,1.66633,1.4487,0.00113051,0.00113051,0.00113051
18,474.903,1.76213,1.64913,1.45442,0.86582,0.71402,0.8198,0.39553,1.9323,1.5801,1.427,0.00109574,0.00109574,0.00109574
19,500.952,1.73909,1.61104,1.35485,0.88024,0.65246,0.76745,0.36302,1.9758,1.62506,1.42645,0.00105975,0.00105975,0.00105975
20,523.602,1.69417,1.53909,1.37007,0.66154,0.49432,0.55127,0.2988,1.97785,2.046,1.41779,0.00102267,0.00102267,0.00102267
21,548.335,1.67238,1.5456,1.35394,0.65524,0.50095,0.58528,0.29762,1.96871,2.00697,1.44937,0.000984663,0.000984663,0.000984663
22,574.642,1.7041,1.57738,1.35652,0.71104,0.54553,0.64552,0.32871,1.82936,1.57689,1.37458,0.00094587,0.00094587,0.00094587
23,597.857,1.75301,1.54685,1.41779,0.69339,0.5928,0.6355,0.33805,1.81643,1.71213,1.367,0.000906446,0.000906446,0.000906446
24,623.078,1.7422,1.57246,1.36071,0.75833,0.56345,0.61927,0.33473,1.86403,1.89312,1.40583,0.000866546,0.000866546,0.000866546
25,647.896,1.73634,1.57769,1.3942,0.68939,0.50095,0.5689,0.3025,1.86734,1.91546,1.40292,0.000826327,0.000826327,0.000826327
26,671.63,1.67237,1.5024,1.32152,0.67626,0.4697,0.56183,0.27895,1.86963,1.81307,1.38903,0.00078595,0.00078595,0.00078595
27,696.334,1.67837,1.52956,1.35842,0.61068,0.4375,0.5577,0.27656,1.85804,1.80705,1.38029,0.000745573,0.000745573,0.000745573
28,723.688,1.66641,1.5462,1.37564,0.64057,0.41572,0.52323,0.24767,1.81722,1.8684,1.33809,0.000705354,0.000705354,0.000705354
29,747.038,1.62863,1.4283,1.293,0.65778,0.47727,0.55227,0.27821,1.82546,1.78366,1.33021,0.000665454,0.000665454,0.000665454
30,771.873,1.71169,1.45692,1.35087,0.80208,0.65341,0.70604,0.37891,1.84565,1.5788,1.3417,0.00062603,0.00062603,0.00062603
31,798.479,1.67672,1.35322,1.31229,0.81615,0.63731,0.72591,0.3929,1.86855,1.53799,1.34935,0.000587237,0.000587237,0.000587237
32,822.543,1.60197,1.3393,1.26749,0.875,0.66004,0.77212,0.41261,1.86012,1.44628,1.35408,0.000549228,0.000549228,0.000549228
33,845.95,1.72746,1.51595,1.38894,0.88462,0.70644,0.79527,0.42425,1.83886,1.43019,1.34867,0.000512153,0.000512153,0.000512153
34,872.975,1.61815,1.40914,1.34554,0.875,0.69886,0.78465,0.41927,1.85292,1.42671,1.36845,0.000476158,0.000476158,0.000476158
35,897.867,1.66407,1.36926,1.33546,0.87536,0.71402,0.79064,0.4148,1.85255,1.43635,1.37174,0.000441387,0.000441387,0.000441387
36,920.965,1.64211,1.36436,1.26081,0.85919,0.73674,0.80834,0.4221,1.84779,1.39605,1.36973,0.000407975,0.000407975,0.000407975
37,946.564,1.62421,1.34654,1.29761,0.86064,0.71618,0.80071,0.41781,1.85675,1.3839,1.3681,0.000376055,0.000376055,0.000376055
