epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.75,1.53676,1.40904,1.50058,0.86048,0.64489,0.78089,0.39951,1.91062,1.24953,1.70003,0.000463798,0.000463798,0.000463798
2,260.203,1.44873,1.23497,1.40618,0.88826,0.62973,0.78108,0.41891,1.88226,1.50155,1.68265,0.00093925,0.00093925,0.00093925
3,386.854,1.51805,1.31613,1.46003,0.85625,0.63068,0.75719,0.38143,2.08255,1.47024,1.89957,0.00141116,0.00141116,0.00141116
