epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2707,1.2693,1.11032,1.16278,0.90909,0.56913,0.75185,0.40343,1.8609,1.36456,1.5026,0.0001429,0.0001429,0.0001429
2,51.8197,1.51701,1.19225,1.19089,0.94444,0.52273,0.72996,0.39729,1.76043,1.43245,1.51079,0.000299824,0.000299824,0.000299824
3,78.8554,1.46514,1.27432,1.24443,0.9375,0.43845,0.6896,0.38834,1.79165,1.45903,1.53908,0.000455657,0.000455657,0.000455657
4,103.412,1.49113,1.25416,1.18797,0.92929,0.49242,0.70167,0.36225,2.02245,1.57992,1.6768,0.000609572,0.000609572,0.000609572
5,128.211,1.5252,1.21698,1.2324,0.92279,0.46875,0.68932,0.3427,1.8066,1.44607,1.4774,0.000760751,0.000760751,0.000760751
6,152.091,1.52071,1.27595,1.22615,0.86364,0.56818,0.72365,0.35629,1.72593,1.38997,1.42755,0.000908392,0.000908392,0.000908392
7,175.583,1.53576,1.32691,1.26491,0.9375,0.5767,0.76527,0.41316,1.71913,1.29434,1.44737,0.00105172,0.00105172,0.00105172
8,199.04,1.65169,1.44145,1.28211,0.93254,0.56061,0.75463,0.40851,1.75877,1.34675,1.46804,0.00118999,0.00118999,0.00118999
9,222.698,1.6011,1.32289,1.29132,0.9375,0.36269,0.65172,0.37188,1.83957,1.36525,1.61301,0.00132247,0.00132247,0.00132247
10,246.853,1.53141,1.28919,1.2677,0.91468,0.45265,0.69498,0.3523,1.8267,1.32424,1.59977,0.0013289,0.0013289,0.0013289
11,273.06,1.61404,1.35394,1.28204,0.98649,0.42898,0.71072,0.34203,1.77132,1.3646,1.52786,0.00130619,0.00130619,0.00130619
12,296.239,1.59246,1.34992,1.28344,0.92279,0.46875,0.71244,0.37371,1.73085,1.38216,1.51704,0.00128143,0.00128143,0.00128143
13,318.823,1.54922,1.29178,1.30985,0.875,0.53788,0.72997,0.40591,1.74233,1.33024,1.53308,0.00125471,0.00125471,0.00125471
14,342.721,1.52318,1.34226,1.28324,0.92059,0.52367,0.71384,0.41776,1.76494,1.33634,1.53527,0.00122615,0.00122615,0.00122615
15,368.807,1.51741,1.32106,1.29388,0.91552,0.4858,0.7119,0.38442,1.77179,1.31936,1.51262,0.00119585,0.00119585,0.00119585
16,396.048,1.50515,1.34556,1.30305,0.94444,0.46212,0.70688,0.38703,1.75132,1.33162,1.48199,0.00116393,0.00116393,0.00116393
