epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.657,2.07289,2.10118,1.73522,0.84758,0.69129,0.80379,0.39442,1.8853,1.63548,1.55866,0.00022864,0.00022864,0.00022864
2,135.961,1.97941,1.91408,1.62934,0.83051,0.61648,0.71694,0.3149,1.95198,1.82968,1.58459,0.000471465,0.000471465,0.000471465
3,206.545,2.01789,2.0035,1.67976,0.84662,0.75713,0.83862,0.39678,1.84816,1.68286,1.53017,0.000713866,0.000713866,0.000713866
4,276.163,1.99176,1.87619,1.63424,0.90785,0.64057,0.79514,0.37298,1.86683,1.57264,1.55459,0.000955518,0.000955518,0.000955518
