epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2802,1.78153,2.02151,1.43461,0.8956,0.7662,0.8616,0.41865,1.83321,1.64431,1.28716,7.145e-05,7.145e-05,7.145e-05
2,54.9158,1.77249,1.87293,1.40353,0.89716,0.70432,0.7931,0.37569,1.79858,1.88945,1.28359,0.00015705,0.00015705,0.00015705
3,80.4026,1.8279,1.7941,1.40644,0.87703,0.68351,0.77443,0.35904,1.83204,1.95341,1.31944,0.000242068,0.000242068,0.000242068
4,115.828,1.79226,1.82347,1.41414,0.74921,0.71402,0.74955,0.35019,1.92979,1.9224,1.34809,0.00032605,0.00032605,0.00032605
5,141.884,1.76889,1.92438,1.47759,0.82791,0.68371,0.7995,0.3924,1.87135,1.70981,1.30434,0.000408551,0.000408551,0.000408551
6,172.394,1.72643,1.73069,1.34784,0.84192,0.69009,0.78491,0.40259,1.77954,1.68091,1.27506,0.000489134,0.000489134,0.000489134
7,212.985,1.78878,1.70413,1.33229,0.87873,0.61684,0.75698,0.39924,1.93077,1.77082,1.3697,0.000567376,0.000567376,0.000567376
8,250.101,1.83898,1.84797,1.42232,0.88592,0.61364,0.74897,0.38082,2.02359,1.69337,1.39288,0.000642866,0.000642866,0.000642866
9,281.171,1.78268,1.73709,1.37107,0.70362,0.75473,0.78927,0.36876,1.99366,1.69425,1.38673,0.000715213,0.000715213,0.000715213
10,313.444,1.78421,1.60451,1.35182,0.71855,0.71198,0.76528,0.36745,1.9263,1.62215,1.34421,0.000784048,0.000784048,0.000784048
11,347.774,1.80475,1.68225,1.37127,0.67278,0.6553,0.69425,0.34841,1.94485,1.67223,1.32726,0.000849022,0.000849022,0.000849022
12,380.635,1.70976,1.65758,1.33564,0.60082,0.58294,0.6427,0.29088,1.99573,1.90474,1.33253,0.000909814,0.000909814,0.000909814
13,410.283,1.66487,1.70832,1.36634,0.72727,0.47159,0.65192,0.33456,1.98832,2.00689,1.36466,0.000966129,0.000966129,0.000966129
14,439.987,1.7609,1.67729,1.42129,0.66715,0.4965,0.61601,0.31903,1.95293,2.11534,1.40579,0.0010177,0.0010177,0.0010177
15,470.083,1.74601,1.63839,1.36464,0.54394,0.47822,0.49554,0.23375,2.03808,2.36958,1.46256,0.0010643,0.0010643,0.0010643
16,499.674,1.68909,1.62731,1.38492,0.60599,0.52557,0.59771,0.31021,1.94321,2.21088,1.46985,0.00110573,0.00110573,0.00110573
17,529.398,1.7687,1.68321,1.44061,0.659,0.58518,0.63034,0.35329,1.90777,1.97676,1.46903,0.00113051,0.00113051,0.00113051
18,559.177,1.75439,1.63084,1.4642,0.69968,0.61694,0.71493,0.37582,1.94424,1.71385,1.47743,0.00109574,0.00109574,0.00109574
19,588.334,1.73028,1.57477,1.35275,0.75422,0.5464,0.71103,0.37031,1.99697,1.77322,1.47829,0.00105975,0.00105975,0.00105975
20,618.58,1.65663,1.57741,1.36362,0.90152,0.55492,0.75655,0.40428,2.07403,1.82502,1.50559,0.00102267,0.00102267,0.00102267
21,650.882,1.69762,1.53053,1.35862,0.93611,0.66951,0.82137,0.37278,2.04225,1.66554,1.46575,0.000984663,0.000984663,0.000984663
22,691.56,1.68909,1.57813,1.34419,0.88837,0.56818,0.75633,0.38396,1.98363,1.58036,1.46998,0.00094587,0.00094587,0.00094587
23,721.978,1.78188,1.55345,1.41827,0.83333,0.50758,0.71127,0.36611,1.9983,1.76924,1.4541,0.000906446,0.000906446,0.000906446
24,748.525,1.70817,1.53579,1.32516,0.88409,0.56913,0.74556,0.38923,1.95238,1.69654,1.4371,0.000866546,0.000866546,0.000866546
25,774.482,1.7532,1.5604,1.37229,0.8847,0.5767,0.74762,0.38275,1.93687,1.56574,1.42479,0.000826327,0.000826327,0.000826327
26,801.608,1.69965,1.50905,1.33374,0.88333,0.5767,0.74869,0.37787,1.95477,1.56983,1.43542,0.00078595,0.00078595,0.00078595
27,830.559,1.68555,1.53604,1.35798,0.90341,0.52936,0.73422,0.36498,1.99591,1.56362,1.4608,0.000745573,0.000745573,0.000745573
28,858.18,1.68396,1.52782,1.36948,0.94444,0.53788,0.7342,0.39254,1.95984,1.58192,1.41682,0.000705354,0.000705354,0.000705354
29,886.557,1.66733,1.4463,1.32939,0.94444,0.55303,0.73844,0.40192,1.91073,1.57634,1.38798,0.000665454,0.000665454,0.000665454
30,916.122,1.74339,1.46627,1.3844,0.94277,0.59848,0.75797,0.41442,1.85863,1.44053,1.35097,0.00062603,0.00062603,0.00062603
31,945.765,1.69113,1.34409,1.32609,0.88913,0.59091,0.76028,0.41731,1.8469,1.4369,1.3461,0.000587237,0.000587237,0.000587237
32,978.628,1.58197,1.34308,1.28371,0.87909,0.63731,0.77633,0.41728,1.83875,1.42742,1.34141,0.000549228,0.000549228,0.000549228
33,1004.77,1.69795,1.52039,1.37415,0.87909,0.63731,0.77499,0.41483,1.8363,1.39716,1.3354,0.000512153,0.000512153,0.000512153
34,1030.35,1.60869,1.39488,1.33194,0.89091,0.68277,0.80284,0.41172,1.88056,1.35652,1.36662,0.000476158,0.000476158,0.000476158
35,1056.41,1.65061,1.36733,1.3282,0.88323,0.69792,0.81037,0.41121,1.87217,1.33193,1.36132,0.000441387,0.000441387,0.000441387
36,1083.65,1.60439,1.32507,1.23324,0.86822,0.70682,0.81544,0.42671,1.83915,1.3166,1.33884,0.000407975,0.000407975,0.000407975
