epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1353,2.01163,2.10612,1.73312,0.72103,0.62119,0.71278,0.35597,1.86555,1.86117,1.56177,0.00045728,0.00045728,0.00045728
2,143.148,2.0975,2.14691,1.73629,0.70819,0.5152,0.62488,0.30439,1.99434,2.0759,1.659,0.000928644,0.000928644,0.000928644
3,219.019,2.05547,2.11586,1.68776,0.8139,0.64291,0.7697,0.33486,2.02625,2.01225,1.66793,0.00139918,0.00139918,0.00139918
4,296.936,2.03393,2.11251,1.73577,0.58765,0.66288,0.61778,0.25565,2.25576,2.11117,1.8138,0.00142615,0.00142615,0.00142615
5,371.983,2.00799,2.02577,1.71605,0.91811,0.52577,0.69247,0.29171,2.10278,1.89966,1.72907,0.00142393,0.00142393,0.00142393
6,445.782,2.02922,2.04216,1.71941,0.92145,0.62215,0.77619,0.34896,2.07421,1.71099,1.66965,0.00142108,0.00142108,0.00142108
7,520.256,1.9583,2.072,1.72017,0.80119,0.71496,0.80186,0.39669,2.04305,1.66257,1.6487,0.00141761,0.00141761,0.00141761
8,596.121,2.05191,1.97526,1.71644,0.88793,0.62216,0.77491,0.36036,1.99523,1.65791,1.63815,0.00141351,0.00141351,0.00141351
9,671.276,2.04111,2.09493,1.73693,0.89024,0.55492,0.73033,0.35783,2.02076,1.79552,1.68909,0.0014088,0.0014088,0.0014088
10,745.889,2.0183,2.05017,1.73354,0.78365,0.5464,0.68497,0.34799,2.1167,1.64031,1.71078,0.00140347,0.00140347,0.00140347
11,824.176,1.96422,1.89068,1.68161,0.81909,0.59186,0.7479,0.36469,2.11786,1.84971,1.75299,0.00139753,0.00139753,0.00139753
12,901.075,1.92056,1.92139,1.68107,0.95455,0.55303,0.75472,0.39658,1.95591,1.65602,1.60568,0.00139098,0.00139098,0.00139098
13,978.271,1.90306,1.87882,1.69133,0.72044,0.65216,0.71594,0.35795,1.9486,1.64587,1.63387,0.00138384,0.00138384,0.00138384
14,1054.5,1.91376,1.88413,1.66021,0.85865,0.57427,0.7368,0.35452,2.03696,1.61366,1.65587,0.00137611,0.00137611,0.00137611
15,1132.31,1.90736,1.79578,1.63298,0.9088,0.56061,0.73054,0.38469,2.04724,1.59338,1.66822,0.0013678,0.0013678,0.0013678
16,1212.16,1.88405,1.88324,1.67372,0.90164,0.52746,0.71801,0.30693,2.02336,1.5504,1.62318,0.00135891,0.00135891,0.00135891
17,1291.36,1.98113,1.84975,1.68041,0.83846,0.67708,0.78139,0.41621,1.96556,1.49471,1.63849,0.00134946,0.00134946,0.00134946
18,1365.34,1.91004,1.76462,1.6624,0.84703,0.66489,0.78738,0.39733,1.97832,1.44627,1.65477,0.00133945,0.00133945,0.00133945
19,1437.3,1.87384,1.73843,1.64109,0.91525,0.65246,0.80417,0.36757,1.9777,1.48842,1.63363,0.0013289,0.0013289,0.0013289
20,1514.69,1.91306,1.67389,1.62161,0.78968,0.66856,0.75096,0.36197,1.99542,1.51219,1.64164,0.0013178,0.0013178,0.0013178
21,1591.08,1.93996,1.69944,1.6229,0.90359,0.58038,0.74572,0.35738,1.98985,1.56653,1.63807,0.00130619,0.00130619,0.00130619
22,1666.32,1.89842,1.68492,1.65732,0.80915,0.66761,0.77049,0.38243,2.14548,1.50089,1.78601,0.00129406,0.00129406,0.00129406
23,1740.98,1.82783,1.65746,1.57945,0.72882,0.67614,0.74139,0.32702,2.05819,1.64005,1.67651,0.00128143,0.00128143,0.00128143
24,1820.27,1.89108,1.64747,1.59581,0.83127,0.58239,0.71903,0.36651,1.94747,1.53423,1.59458,0.00126831,0.00126831,0.00126831
25,1896.24,1.82102,1.66313,1.60069,0.71393,0.69886,0.74452,0.3736,1.92948,1.49817,1.59743,0.00125471,0.00125471,0.00125471
26,1971.99,1.86944,1.67946,1.59703,0.75714,0.70644,0.7863,0.39035,1.9687,1.43752,1.64374,0.00124066,0.00124066,0.00124066
27,2049.78,1.79923,1.56591,1.56176,0.87271,0.66761,0.80693,0.38426,2.0624,1.37621,1.65373,0.00122615,0.00122615,0.00122615
28,2128.01,1.85204,1.72045,1.62848,0.86435,0.61875,0.74716,0.35574,1.98675,1.47034,1.6681,0.00121121,0.00121121,0.00121121
29,2206.9,1.83259,1.57754,1.60101,0.83854,0.72159,0.81559,0.3565,2.06681,1.43973,1.68446,0.00119585,0.00119585,0.00119585
30,2287.01,1.86927,1.57993,1.60021,0.97751,0.64394,0.81155,0.37882,2.03647,1.45826,1.70854,0.00118008,0.00118008,0.00118008
31,2362.77,1.85372,1.56415,1.56725,0.97267,0.67427,0.82244,0.39473,2.05729,1.34197,1.65574,0.00116393,0.00116393,0.00116393
32,2444.06,1.85918,1.59565,1.57525,0.88514,0.6162,0.76745,0.37342,2.07165,1.4203,1.67313,0.0011474,0.0011474,0.0011474
33,2521.74,1.8049,1.54786,1.55259,0.8371,0.66972,0.76642,0.29632,2.04391,1.4051,1.64987,0.00113051,0.00113051,0.00113051
34,2599.83,1.82763,1.52419,1.54907,0.88407,0.66761,0.79464,0.34939,1.99588,1.34387,1.62706,0.00111329,0.00111329,0.00111329
35,2677.89,1.79962,1.48291,1.53018,0.93605,0.70143,0.82479,0.36974,2.035,1.3768,1.66916,0.00109574,0.00109574,0.00109574
36,2758.9,1.7515,1.52337,1.50068,0.85737,0.67519,0.78131,0.39546,1.99254,1.27978,1.63219,0.00107789,0.00107789,0.00107789
37,2836.06,1.75406,1.49031,1.49445,0.81585,0.68277,0.78805,0.36306,2.02083,1.2835,1.63598,0.00105975,0.00105975,0.00105975
38,2914.75,1.77814,1.45309,1.51829,0.9423,0.63547,0.79356,0.40655,2.00852,1.32057,1.62511,0.00104134,0.00104134,0.00104134
39,2993.76,1.77823,1.47701,1.50764,0.90945,0.63636,0.79264,0.40992,1.98655,1.27549,1.63678,0.00102267,0.00102267,0.00102267
40,3069.6,1.75404,1.38943,1.48266,0.84066,0.65246,0.78091,0.36253,2.12564,1.36849,1.76673,0.00100378,0.00100378,0.00100378
41,3146.63,1.77544,1.46645,1.50837,0.76498,0.69355,0.79862,0.3519,1.97823,1.32688,1.65783,0.000984663,0.000984663,0.000984663
42,3225.13,1.75339,1.44623,1.49358,0.80714,0.72159,0.79829,0.35468,2.0431,1.20033,1.72124,0.000965355,0.000965355,0.000965355
43,3304.84,1.7528,1.4547,1.48414,0.91336,0.66455,0.81361,0.37646,2.04906,1.27213,1.67014,0.00094587,0.00094587,0.00094587
44,3383.5,1.74371,1.45811,1.50068,0.91552,0.69034,0.83017,0.38169,1.95716,1.28945,1.61041,0.000926227,0.000926227,0.000926227
45,3460.21,1.66696,1.29292,1.47241,0.89111,0.65414,0.78749,0.35111,2.09419,1.35962,1.64165,0.000906446,0.000906446,0.000906446
46,3537.28,1.70839,1.4074,1.49409,0.81565,0.69129,0.80089,0.38328,2.08549,1.31439,1.65243,0.000886545,0.000886545,0.000886545
47,3618.1,1.68072,1.36659,1.45784,0.86201,0.70614,0.81434,0.38693,1.99629,1.24736,1.62327,0.000866546,0.000866546,0.000866546
48,3699.1,1.72358,1.46321,1.53182,0.81523,0.71123,0.81383,0.34693,2.08772,1.33841,1.69777,0.000846466,0.000846466,0.000846466
49,3776.67,1.70969,1.36767,1.50237,0.86133,0.72254,0.83449,0.38174,2.02049,1.33351,1.6635,0.000826327,0.000826327,0.000826327
50,3856.18,1.6842,1.32319,1.46624,0.87039,0.73314,0.81578,0.39096,1.99703,1.28475,1.60725,0.000806149,0.000806149,0.000806149
51,3934.32,1.71858,1.35226,1.4704,0.90775,0.76799,0.84548,0.39268,2.00112,1.29614,1.61499,0.00078595,0.00078595,0.00078595
52,4014.4,1.69295,1.38599,1.44111,0.86356,0.69886,0.78325,0.3805,2.0892,1.30065,1.73698,0.000765751,0.000765751,0.000765751
53,4090.79,1.67936,1.28806,1.43192,0.86934,0.75284,0.84399,0.38455,2.06964,1.22069,1.70351,0.000745573,0.000745573,0.000745573
54,4166.69,1.64679,1.30053,1.44353,0.90826,0.70549,0.82574,0.38284,2.09047,1.17711,1.6802,0.000725434,0.000725434,0.000725434
55,4241.56,1.67562,1.37547,1.46036,0.91634,0.70227,0.82595,0.40998,2.06403,1.21889,1.6938,0.000705354,0.000705354,0.000705354
56,4316.23,1.6481,1.30501,1.44176,0.81048,0.69034,0.78479,0.37609,2.05632,1.20075,1.68858,0.000685355,0.000685355,0.000685355
57,4392.33,1.67754,1.38282,1.46856,0.85833,0.71402,0.81271,0.37742,2.10336,1.25485,1.74433,0.000665454,0.000665454,0.000665454
58,4468.4,1.61545,1.27644,1.46724,0.90166,0.66707,0.8186,0.38165,2.08948,1.28619,1.71792,0.000645673,0.000645673,0.000645673
59,4542.75,1.61761,1.27062,1.42866,0.86476,0.72108,0.82951,0.42351,2.03347,1.16313,1.66766,0.00062603,0.00062603,0.00062603
60,4617.09,1.58238,1.24003,1.42597,0.88725,0.6978,0.81689,0.39413,2.08431,1.23459,1.72191,0.000606545,0.000606545,0.000606545
61,4692.18,1.64892,1.27824,1.45146,0.83825,0.79167,0.844,0.39937,2.02042,1.173,1.66196,0.000587237,0.000587237,0.000587237
62,4768.17,1.65178,1.24914,1.45151,0.87212,0.79167,0.85626,0.40366,1.9956,1.09119,1.64165,0.000568125,0.000568125,0.000568125
63,4842.5,1.61809,1.2226,1.40765,0.93286,0.78052,0.85881,0.41313,2.04006,1.07821,1.66123,0.000549228,0.000549228,0.000549228
64,4916.99,1.63902,1.25447,1.42912,0.90855,0.75544,0.85379,0.41212,2.05242,1.1259,1.67366,0.000530564,0.000530564,0.000530564
65,4989.14,1.62334,1.2488,1.41442,0.91453,0.72917,0.83078,0.41916,2.01441,1.15173,1.65213,0.000512153,0.000512153,0.000512153
66,5062.52,1.59692,1.28601,1.435,0.90411,0.70549,0.82471,0.39714,2.02158,1.1305,1.64767,0.000494011,0.000494011,0.000494011
67,5135.92,1.60999,1.23039,1.42144,0.89802,0.69034,0.80776,0.39227,2.07055,1.16516,1.69647,0.000476158,0.000476158,0.000476158
68,5207.6,1.59123,1.20156,1.40309,0.86469,0.72036,0.81102,0.40657,2.09934,1.17529,1.72148,0.000458611,0.000458611,0.000458611
69,5279.91,1.59265,1.20679,1.38293,0.91551,0.75284,0.84752,0.40898,2.04945,1.15973,1.67267,0.000441387,0.000441387,0.000441387
70,5352.71,1.56947,1.21603,1.3911,0.91363,0.75284,0.84239,0.40342,2.03482,1.13231,1.67988,0.000424502,0.000424502,0.000424502
71,5428.97,1.54878,1.14431,1.36185,0.92964,0.76042,0.84822,0.4201,2.04087,1.11611,1.69961,0.000407975,0.000407975,0.000407975
72,5503.54,1.56935,1.19209,1.38228,0.90493,0.74098,0.84164,0.41205,2.06966,1.15168,1.70437,0.00039182,0.00039182,0.00039182
73,5576.88,1.58201,1.20353,1.3974,0.88915,0.72876,0.82376,0.39431,2.0478,1.14149,1.69404,0.000376055,0.000376055,0.000376055
74,5651.71,1.5923,1.1524,1.3875,0.80943,0.77652,0.83276,0.3899,2.04423,1.12613,1.67502,0.000360693,0.000360693,0.000360693
75,5724.35,1.52071,1.15229,1.33203,0.84524,0.78409,0.84713,0.39941,2.06582,1.11608,1.68682,0.000345752,0.000345752,0.000345752
76,5799.03,1.60236,1.20273,1.37412,0.888,0.76799,0.85643,0.40403,2.06393,1.11163,1.68731,0.000331245,0.000331245,0.000331245
77,5871.49,1.51154,1.11406,1.36773,0.88277,0.72917,0.83086,0.40927,2.04935,1.08492,1.69331,0.000317187,0.000317187,0.000317187
78,5943.56,1.58659,1.217,1.41165,0.91144,0.71402,0.83014,0.4048,2.07108,1.09397,1.72726,0.000303591,0.000303591,0.000303591
79,6014.87,1.55581,1.14502,1.371,0.89124,0.76042,0.84834,0.40459,2.06446,1.09833,1.72715,0.000290471,0.000290471,0.000290471
80,6088.72,1.48611,1.15554,1.37946,0.86474,0.74527,0.83419,0.40509,2.07537,1.12753,1.7096,0.000277841,0.000277841,0.000277841
81,6161.23,1.52283,1.11369,1.33485,0.89629,0.74527,0.83553,0.40443,2.05228,1.14474,1.67398,0.000265712,0.000265712,0.000265712
82,6232.59,1.52199,1.14419,1.36363,0.90966,0.76042,0.8593,0.40771,2.02561,1.14797,1.67033,0.000254096,0.000254096,0.000254096
83,6305.59,1.50208,1.09702,1.35673,0.93247,0.76042,0.85833,0.40573,2.0492,1.18104,1.66985,0.000243005,0.000243005,0.000243005
84,6380.21,1.50438,1.12989,1.34108,0.92325,0.74527,0.84772,0.40136,2.0639,1.19378,1.6758,0.00023245,0.00023245,0.00023245
85,6452.74,1.53754,1.11695,1.36492,0.94433,0.76042,0.85867,0.42094,2.05545,1.1118,1.67751,0.000222441,0.000222441,0.000222441
