epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.319,2.1081,2.28195,1.76876,0.77949,0.47822,0.64208,0.31105,1.9136,1.73147,1.56747,0.00045728,0.00045728,0.00045728
2,228.425,1.997,2.0834,1.69517,0.7131,0.47727,0.61037,0.27037,2.03882,2.17457,1.62751,0.000928025,0.000928025,0.000928025
3,303.666,1.97535,2.06557,1.65415,0.77049,0.375,0.53718,0.31457,2.09165,2.51925,1.6827,0.00139545,0.00139545,0.00139545
4,375.548,2.04247,2.14446,1.68598,0.95833,0.35417,0.64929,0.31945,2.17853,1.8036,1.76613,0.00141761,0.00141761,0.00141761
5,449.902,1.97327,2.08771,1.68048,0.85764,0.33239,0.59626,0.34923,1.96908,1.79233,1.70733,0.0014088,0.0014088,0.0014088
6,515.596,1.94188,2.01573,1.65594,0.8,0.16193,0.49921,0.32759,1.96653,2.13419,1.66742,0.00139753,0.00139753,0.00139753
7,581.981,1.9297,1.98159,1.66652,0.75,0.20739,0.4715,0.24636,2.03489,1.93466,1.71018,0.00138384,0.00138384,0.00138384
8,655.072,1.97281,1.9507,1.71043,0.96875,0.17614,0.57497,0.23621,2.13824,1.96059,1.72472,0.0013678,0.0013678,0.0013678
9,725.037,1.91764,1.89121,1.6449,0.91512,0.58428,0.76319,0.32791,2.06327,1.59521,1.66614,0.00134946,0.00134946,0.00134946
10,811.838,1.90878,1.84086,1.61531,0.91463,0.38258,0.6562,0.36481,1.96511,1.59659,1.5849,0.0013289,0.0013289,0.0013289
11,886.802,1.91467,1.80869,1.60433,0.875,0.38731,0.65691,0.33387,1.97572,1.76321,1.66471,0.00130619,0.00130619,0.00130619
12,974.672,1.95314,1.74839,1.63917,0.84595,0.5,0.68647,0.38764,1.9299,1.5621,1.61084,0.00128143,0.00128143,0.00128143
13,1049.53,1.86918,1.76951,1.61263,0.97222,0.34754,0.65976,0.31144,2.01744,1.68581,1.68965,0.00125471,0.00125471,0.00125471
14,1127.55,1.88905,1.81026,1.66056,0.89643,0.47064,0.69291,0.32311,1.89413,1.5347,1.62987,0.00122615,0.00122615,0.00122615
15,1205.91,1.94519,1.72575,1.62668,0.88776,0.53788,0.73293,0.33251,2.01351,1.80439,1.64575,0.00119585,0.00119585,0.00119585
16,1291.62,1.87146,1.68099,1.56316,0.86765,0.50473,0.68809,0.34788,2.00786,1.51609,1.67337,0.00116393,0.00116393,0.00116393
17,1374.68,1.90937,1.74478,1.62102,0.84091,0.42519,0.65916,0.34682,1.95504,1.54165,1.59038,0.00113051,0.00113051,0.00113051
18,1457.08,1.85501,1.64492,1.57004,0.89668,0.55966,0.7448,0.37245,2.00985,1.42689,1.61968,0.00109574,0.00109574,0.00109574
19,1538.12,1.81923,1.71255,1.58894,0.75869,0.51515,0.61852,0.31466,1.95508,1.4188,1.58105,0.00105975,0.00105975,0.00105975
20,1625.62,1.85796,1.73785,1.57468,0.94264,0.62311,0.79179,0.401,2.03381,1.44469,1.64155,0.00102267,0.00102267,0.00102267
21,2532.36,1.85772,1.64427,1.55356,0.81548,0.4678,0.66356,0.33461,1.96994,1.45424,1.60147,0.000984663,0.000984663,0.000984663
22,2600.13,1.79529,1.5534,1.51677,0.91199,0.63826,0.79995,0.41877,1.9562,1.29925,1.60718,0.00094587,0.00094587,0.00094587
23,2667.47,1.78206,1.5156,1.53218,1,0.5928,0.79638,0.3609,2.00253,1.28919,1.61235,0.000906446,0.000906446,0.000906446
24,2734.75,1.77117,1.42292,1.48207,0.98611,0.57765,0.78339,0.40782,1.90245,1.24559,1.54907,0.000866546,0.000866546,0.000866546
25,2804.24,1.7345,1.48053,1.49002,0.98485,0.52367,0.75352,0.40661,1.99228,1.29561,1.60115,0.000826327,0.000826327,0.000826327
26,2873.43,1.75715,1.47894,1.46989,0.96939,0.62973,0.7988,0.41132,1.90312,1.33189,1.56714,0.00078595,0.00078595,0.00078595
27,2938.73,1.71359,1.3812,1.45383,0.93684,0.56155,0.75196,0.37089,1.96282,1.32809,1.61576,0.000745573,0.000745573,0.000745573
28,3008.71,1.74577,1.41706,1.48326,0.91944,0.53788,0.74007,0.36187,2.04622,1.35499,1.60629,0.000705354,0.000705354,0.000705354
