epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0382,1.54504,2.02951,1.19823,0.90172,0.3647,0.6854,0.32426,1.82215,2.82394,1.25692,7.145e-05,7.145e-05,7.145e-05
2,49.9424,1.5275,1.83443,1.16774,0.91463,0.39417,0.68226,0.33266,1.83784,2.73144,1.25272,0.000141628,0.000141628,0.000141628
3,73.5804,1.51404,1.72825,1.19904,0.95518,0.44856,0.69017,0.33635,1.85492,2.54805,1.29357,0.00019483,0.00019483,0.00019483
4,96.5346,1.42932,1.84425,1.1531,0.93845,0.53314,0.71933,0.3571,1.84417,2.46016,1.28253,0.000231055,0.000231055,0.000231055
5,119.551,1.4678,1.70222,1.21238,0.89721,0.61158,0.73189,0.34171,1.83522,2.27972,1.24863,0.000250304,0.000250304,0.000250304
6,142.489,1.46187,1.72985,1.1804,0.8446,0.66425,0.73398,0.32658,1.8804,2.07907,1.28862,0.000252576,0.000252576,0.000252576
7,164.436,1.42083,1.62302,1.18725,0.8723,0.67744,0.76134,0.3697,1.80682,2.04063,1.25519,0.000237871,0.000237871,0.000237871
8,187.033,1.46361,1.62004,1.15629,0.84568,0.66136,0.7336,0.36434,1.85796,2.04069,1.2916,0.00020619,0.00020619,0.00020619
9,208.731,1.47188,1.60252,1.1541,0.8197,0.6758,0.74166,0.37176,1.89662,1.94785,1.29259,0.000157533,0.000157533,0.000157533
10,231.711,1.43549,1.55582,1.11864,0.8036,0.70395,0.77058,0.37034,1.89591,1.82443,1.28652,9.1899e-05,9.1899e-05,9.1899e-05
