epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.869,1.451,1.24466,1.23593,0.89035,0.72159,0.82572,0.44911,1.77069,1.35527,1.44544,0.0001429,0.0001429,0.0001429
2,44.2211,1.51412,1.20189,1.18715,0.85783,0.71402,0.80543,0.4189,1.78438,1.39936,1.52461,0.000298427,0.000298427,0.000298427
3,66.2303,1.46555,1.27349,1.25002,0.86538,0.69129,0.79792,0.42101,1.82047,1.4336,1.56887,0.000447209,0.000447209,0.000447209
4,88.8852,1.49063,1.23961,1.20143,0.93464,0.62879,0.789,0.40142,1.83218,1.48294,1.55029,0.000584332,0.000584332,0.000584332
5,118.595,1.51571,1.22986,1.23622,0.89545,0.65246,0.77384,0.37095,1.73815,1.4386,1.42597,0.000705342,0.000705342,0.000705342
6,156.415,1.53375,1.28371,1.22212,0.79567,0.71402,0.78918,0.37613,1.7124,1.36914,1.44188,0.000806426,0.000806426,0.000806426
7,178.576,1.51898,1.26962,1.24689,0.84865,0.75431,0.83588,0.40805,1.68717,1.32717,1.4295,0.000884583,0.000884583,0.000884583
8,202.586,1.63219,1.39014,1.26221,0.8824,0.73307,0.81568,0.40145,1.74121,1.29867,1.44388,0.000937763,0.000937763,0.000937763
9,224.837,1.49912,1.26317,1.22676,0.86667,0.70739,0.80454,0.3808,1.80025,1.33444,1.52456,0.00096497,0.00096497,0.00096497
10,251.643,1.51409,1.24743,1.26373,0.90909,0.62216,0.76781,0.37945,1.7505,1.35629,1.49289,0.000886545,0.000886545,0.000886545
11,276.174,1.43424,1.28535,1.16309,0.88889,0.58333,0.75028,0.35622,1.765,1.35448,1.5416,0.00078595,0.00078595,0.00078595
